InNum,ProQANumber,CallDateTime,Timestamp,Address,AptLot,lng,lat,GridLoc,Disp,PDids,ExtNatureDisplayName,Report,PolArea,DOW,HourNum
2015143105,P41645,8/10/15 23:58,1439269114,PROVIDENCE RD S-CO/STADIUM BLVD E-CO,,-92.3343,38.9379,28134A,2,200,TRAFFIC,,60E,Monday,23
2015143100,P41644,8/10/15 23:37,1439267845,TENTH ST N-CO/BROADWAY E-CO,,-92.3265,38.9515,28124Q,9,200,DWI,,70D,Monday,23
2015143096,,8/10/15 23:34,1439267666,800 STADIUM BLVD W-CO,,-92.35111,38.93819,28144A,2,200,CHECK SUBJECT,,50WP,Monday,23
2015143095,,8/10/15 23:31,1439267511,900 RANGE LINE ST-CO,,-92.32459,38.96017,28122Q,2,200,TRAFFIC STOP,,20E,Monday,23
2015143092,P41642,8/10/15 23:23,1439267031,4113 DERBY RIDGE DR-CO,,-92.31791,38.99221,24311A,2,200,TRESPASSING,,30S,Monday,23
2015143089,,8/10/15 23:13,1439266397,WALNUT ST E-CO/TENTH ST N-CO,,-92.3265,38.9526,28124Q,10,200,TRAFFIC STOP,,70D,Monday,23
2015143091,P41640,8/10/15 23:09,1439266178,NINTH ST S-CO/CHERRY ST-CO,,-92.3276,38.9505,28124S,1,200,LEAVING THE SCENE ACCIDENT,2015-008831,70D,Monday,23
2015143088,P41639,8/10/15 23:07,1439266044,411 ALEXANDER AV-CO,,-92.34396,38.95723,28114P,2,200,DISTURBANCE,,20W,Monday,23
2015143084,P41638,8/10/15 23:03,1439265827,100 BLK NINTH ST S-CO,,-92.3276,38.9499,28124S,2,200,DWI,,70D,Monday,23
2015143082,P41637,8/10/15 23:02,1439265754,400 BUSINESS LOOP 70 W-CO,,-92.34368,38.96531,28024A,3,200,LAW ALARM,,20W,Monday,23
2015143083,P41636,8/10/15 23:00,1439265652,1110 PANNELL ST-CO,,-92.32342,38.96297,29071R,1,200,LARCENY MV,2015-008832,20E,Monday,23
2015143081,P41635,8/10/15 22:58,1439265511,STADIUM BLVD W-CO/FORUM BLVD-CO,,-92.3593,38.9381,28231A,2,200,TRAFFIC,,50E,Monday,22
2015143079,P41634,8/10/15 22:53,1439265218,3300 VANDIVER DR-CO,,-92.28922,38.97468,29052A,12,200,LAW ALARM,,40W,Monday,22
2015143078,,8/10/15 22:50,1439265030,407 BUSINESS LOOP 70 E-CO,,-92.33143,38.96474,28014Q,2,200,TRAFFIC STOP,,20E,Monday,22
