cluster,incident_type,lat,lng
0,LAW ALARM,38.96531,-92.34368
0,TRAFFIC,38.9381,-92.3593
0,SUSPICIOUS PERSON,38.96419,-92.37769
0,DISTURBANCE,38.98455,-92.36872
0,911 CHECKS,38.95544,-92.36135
0,TRAFFIC,38.9564,-92.3598
0,C&I DRIVING,38.9693,-92.3802
0,LAW ALARM,38.95166,-92.35094
0,LARCENY,38.96407,-92.37401
0,LOCKOUT,38.9683,-92.3711
0,911 CHECKS,38.95695,-92.38906
0,KEEP THE PEACE,38.96154,-92.36457
0,LARCENY,38.96308,-92.37293
0,LARCENY,38.96327,-92.37416
0,HARASSMENT,38.96242,-92.36581
0,PEACE DISTURBANCE,38.94885,-92.37518
0,VANDALISM,38.96316,-92.34454
0,ACCIDENT,38.9668,-92.3677
0,ACCIDENT,38.9668,-92.3677
0,911 CHECKS,38.93754,-92.37092
0,FRAUD,38.96235,-92.35805
0,HARASSMENT,38.96356,-92.37333
0,FRAUD,38.95946,-92.35106
0,TRAFFIC CONTROL,38.9653,-92.3712
0,ACCIDENT,38.9653,-92.3712
0,STALLED VEHICLE,38.9653,-92.3712
0,FRAUD,38.94925,-92.35895
0,TRAFFIC STOP,38.9547,-92.3807
0,ACCIDENT,38.953,-92.3616
0,CHECK OPEN BUSINESS,38.96591,-92.37071
0,SUSPICIOUS INCIDENT,38.97245,-92.36267
0,TRAFFIC HAZARD,38.9665,-92.3517
0,AUTO THEFT,38.95981,-92.35962
0,LAW ALARM,38.96684,-92.3607
0,ASSIST CITIZEN,38.94329,-92.37363
0,SUSPICIOUS PERSON,38.960727,-92.3842
0,TRESPASSING,38.96591,-92.37071
0,DISTURBANCE,38.96369,-92.35145
0,LAW ALARM,38.96005,-92.37495
0,911 CHECKS,38.96494,-92.37177
0,SUSPICIOUS INCIDENT,38.96038,-92.34581
0,ASSIST CITIZEN,38.96108,-92.34544
0,STALLED VEHICLE,38.9606,-92.3649
0,SUSPICIOUS PERSON,38.961,-92.369
0,DWI,38.964099,-92.361655
0,TRESPASSING,38.96069,-92.38382
0,911 CHECKS,38.96457,-92.35411
0,STALLED VEHICLE,38.9576,-92.3714
0,911 CHECKS,38.96457,-92.35411
0,LARCENY,38.96371,-92.37504
0,911 CHECKS,38.97521,-92.38146
0,LAW ALARM,38.93573,-92.35954
0,STALLED VEHICLE,38.9547,-92.3807
0,911 CHECKS,38.9658,-92.35935
0,ACCIDENT,38.9693,-92.3802
0,LARCENY,38.95954,-92.36809
0,911 CHECKS,38.95987,-92.36103
0,LARCENY,38.97711,-92.37404
0,LOCKOUT,38.9466,-92.3715
0,911 CHECKS,38.96229,-92.36558
0,SUSPICIOUS INCIDENT,38.9599,-92.3574
0,LAW ALARM,38.96271,-92.36905
0,FOOT PATROL,38.97245,-92.36267
0,CHECK SUBJECT,38.97245,-92.36267
0,TRESPASSING,38.96314,-92.36595
0,DISTURBANCE,38.95524,-92.35597
0,TRAFFIC STOP,38.961,-92.369
0,ACCIDENT,38.9693,-92.3802
0,CHECK SUBJECT,38.97245,-92.36267
0,DEATH INVESTIGATION,38.95524,-92.37486
0,TRAFFIC HAZARD,38.966,-92.3461
0,911 CHECKS,38.96541,-92.36496
0,DISTURBANCE,38.96298,-92.36169
0,SPECIAL ASSIGNMENT,38.96327,-92.37416
0,CHECK SUBJECT,38.96542,-92.36555
0,DISTURBANCE,38.97245,-92.36267
0,911 CHECKS,38.94077,-92.36495
0,AUTO THEFT,38.96331,-92.36168
0,SHOPLIFTING,38.96419,-92.37769
0,LEAVING THE SCENE ACCIDENT,38.95853,-92.36263
0,LARCENY,38.95844,-92.35574
0,CHECK SUBJECT,38.96009,-92.36193
0,ACCIDENT,38.9682,-92.3711
0,HARASSMENT,38.95638,-92.37403
0,911 CHECKS,38.97245,-92.36267
0,FOOT PATROL,38.97245,-92.36267
0,CHECK THE WELFARE,38.95327,-92.35479
0,ASSIST MEDICS,38.95511,-92.37498
0,CIVIL MATTER,38.95431,-92.35552
0,ROBBERY,38.95696,-92.38247
0,LAW ALARM,38.94337,-92.37515
0,LAW ALARM,38.96099,-92.37465
0,HARASSMENT,38.96301,-92.36595
0,911 CHECKS,38.98418,-92.36791
0,SHOTS FIRED,38.9589,-92.3468
0,PEACE DISTURBANCE,38.94885,-92.37518
0,ASSIST MEDICS,38.96694,-92.37346
0,LAW ALARM,38.95688,-92.37214
0,ANIMAL COMPLAINT,38.95652,-92.36521
0,911 CHECKS,38.95696,-92.38247
0,LARCENY,38.96541,-92.36496
0,KEEP THE PEACE,38.95022,-92.37449
0,TRAFFIC,38.9612,-92.3713
0,PEACE DISTURBANCE,38.955334,-92.356638
0,TRAFFIC HAZARD,38.9683,-92.3711
0,FRAUD,38.96565,-92.34954
0,ACCIDENT,38.9653,-92.3712
0,LARCENY,38.96724,-92.34795
0,LAW ALARM,38.95456,-92.38531
0,CHECK SUBJECT,38.9623,-92.3449
0,911 CHECKS,38.9683,-92.3711
0,911 CHECKS,38.93085,-92.36593
0,CHECK SUBJECT,38.9618,-92.3648
0,911 CHECKS,38.9387,-92.3674
0,ASSIST OFFICER,38.96368,-92.37364
0,LARCENY,38.96315,-92.3658
0,911 CHECKS,38.9663,-92.3502
0,911 CHECKS,38.96367,-92.34463
0,KEEP THE PEACE,38.9547,-92.3807
0,TRESPASSING,38.93363,-92.35994
0,LEAVING THE SCENE ACCIDENT,38.95074,-92.35704
0,911 CHECKS,38.96786,-92.34575
0,LAW ALARM,38.96085,-92.37041
0,911 CHECKS,38.97245,-92.36267
0,CHECK OPEN BUSINESS,38.9466,-92.3715
0,TRESPASS SUBJECT,38.9576,-92.3714
0,SUSPICIOUS PERSON,38.95554,-92.36931
0,TRAFFIC STOP,38.9893,-92.388
0,CHECK SUBJECT,38.97228,-92.34871
0,LARCENY,38.963,-92.3527
0,ACCIDENT,38.9353,-92.3599
0,ACCIDENT,38.9655,-92.3702
0,TRAFFIC STOP,38.9606,-92.3453
0,ASSIST MEDICS,38.96732,-92.35637
0,911 CHECKS,38.96327,-92.37416
0,SHOTS HEARD,38.95548,-92.37898
0,SUSPICIOUS PERSON,38.97724,-92.3751
0,LARCENY,38.9594,-92.3527
0,CHECK SUBJECT,38.95216,-92.38035
0,ACCIDENT,38.9646,-92.3563
0,TRAFFIC STOP,38.97245,-92.36267
0,DISTURBANCE,38.97163,-92.38534
0,LARCENY MV,38.95198,-92.37344
0,FOOT PATROL,38.9576,-92.3714
0,LAW ALARM,38.9488,-92.3704
0,LARCENY,38.9594,-92.3713
0,911 CHECKS,38.9612,-92.3475
0,911 CHECKS,38.9617,-92.3582
0,ASSIST FIRE,38.97312,-92.3496
0,HARASSMENT,38.96622,-92.36725
0,LAW ALARM,38.95951,-92.35644
0,TRESPASSING,38.9549,-92.3622
0,KEEP THE PEACE,38.94329,-92.37363
0,ACCIDENT,38.97173,-92.3873
0,ABANDONED VEHICLE,38.96356,-92.37333
0,911 CHECKS,38.95807,-92.39098
0,LARCENY MV,38.95664,-92.37281
0,AUTO THEFT,38.95345,-92.37593
0,OVERDOSE,38.95724,-92.34728
0,SUSPICIOUS PERSON,38.94077,-92.36495
0,CHECK OPEN BUSINESS,38.9547,-92.3807
0,ASSIST CITIZEN,38.96135,-92.38274
0,CHECK OPEN BUSINESS,38.93485,-92.35832
0,LAW ALARM,38.94917,-92.36204
0,VANDALISM,38.93694,-92.35981
